Collectie;signatuur;Hoogte (cm);Breedte (cm);Diepte (cm)
UBL;Icones-UB-MNL-2;47,5;39,5;3
UBL;Icones-UB-MNL-3;47,5;39,5;3
UBL;Icones-UB-469;57;57;2,5
UBL;Icones 67;86,5;75,5;3
UBL;Icones 53;71;64;4,5
UBL;Icones-UB-466;71,5;59;3,5
UBL;Icones 61;83;69,5;4,5
UBL;Icones 477;77,5;62;3,5
UBL;Icones-UB-471;77;63;3,5
UBL;Icones 73;78,5;74;7,5
UBL;Icones 30;88;65,5;6,5
UBL;Icones 69;64;54;4,5
UBL;Icones-UB-465;90;76,5;6,5
UBL;Icones-UB-478;67;57;3
UBL;Icones 59;89;77,5;7,5
UBL;Icones 66;82,5;69,5;7,5
UBL;Icones 71;140;113;4
UBL;Icones 195;99;81;6,5
UBL;Icones 115;91;77,5;5
UBL;Icones 19;87,5;74;4
UBL;Icones-UB-MNL-1;113,5;128,5;5,5
UBL;Icones-UB-476;57;47;3,5
UBL;Icones 149;126,5;107;5
UBL;Icones 54;86;75;4
UBL;Icones 3;76,5;61;3,5
UBL;Icones 42;84,5;70,5;5,5
UBL;Icones 36;86,5;75,5;4
UBL;Icones 131;84,5;67,5;3,5
UBL;Icones 79;104;90;6,5
UBL;Icones 118;91,5;74,5;4
UBL;Icones-UB-468;83,5;64,5;4,5
UBL;Icones 7;44,5;36;5,5
UBL;Icones 14;48;37;3
UBL;Icones 279;60;48,5;2,5
UBL;Icones 57;46;41;4,5
UBL;Icones 9;49;38;4
UBL;Icones 52;91;72,5;8
UBL;Icones 50;81;68,5;8
UBL;Icones 88;57,5;49;5,5
UBL;Icones 26;80;55;5
UBL;Icones 210;50;45,5;4,5
UBL;Icones 211;53;45;3,5
UBL;Icones 40;82;68;6
UBL;Icones 12;55;51,5;7,5
UBL;Icones 38;57,5;47;4,5
UBL;Icones 34;86;73,5;8
UBL;Icones 21;45;39;3,5
UBL;Icones 29;88;79;7
UBL;Icones 5;90,5;78;4
UBL;Icones 2, 41, 47, 70, 86, 94, 96, 102, 106;65,5;57,5;5
UBL;Icones 39;96,5;83;4,5
