Nummer;Type
Pos. 5-1a;5
Pos. 5-1b;3
Pos. 1-2a;1
Pos. 1-2b;1
Pos. 1-3a;1
Pos. 1-3b;1
Pos. 1-4a;1
Pos. 1-4b;1
Pos. 1-5a;1
Pos. 1-5b;1
Pos. 1-6a;1
Pos. 1-6b;1
Pos. 1-7a;1
Pos. 1-7b;1
Pos. 5-9a;3
Pos. 5-9b;3
Pos. 1-10a;1
Pos. 1-10b;1
Pos. 2-11a;4
Pos. 4-12a;6
Pos. 4-11b;7
Pos. 1-12a;2
Pos. 1-12b;2
Pos. 1-13a;2
Pos. 1-13b;2
Pos. 1-14a;2
Pos. 1-14b;2
Pos. 1-15a;2
Pos. 1-15b;2
Pos. 1-16a;2
Pos. 1-16b;2
Pos. 1-17a;2
Pos. 1-17b;2
Pos. 1-18a;2
Pos. 1-18b;2
Pos. 1-19a;2
Pos. 1-19b;2
Pos. 1-20a;2
Pos. 1-20b;2
Pos. 1-21a;2
Pos. 1-21b;2
Pos. 3-22a;8
