signatuur;afmetingen
BWB 853;61cm x 61,5cm
BWB 854;61cm x 51cm
BWB 874;78,5cm x 62,5cm
BWB 828;102cm x 90cm
BWB 829;114cm x 95cm
BWB 830;103cm x 88cm
BWB 831;83cm x 66,5cm
BWB 832;87cm x 70,5cm
BWB 833;87cm x 70,5cm
BWB 840;83cm x 66cm
BWB 865;46cm x 38cm
BWB 869;80cm x 65cm
BWB 870;80cm x 65cm
AHM-1989-81;85cm x 55cm
AHM-1990-236;86cm x 64cm
AHM-1992-33;86cm x 71cm
AHM-1992-34;90cm x 69cm
AHM-1996-284;34cm x 52cm
AHM-2002-98/1;63cm x 55cm
AHM-2002-99;68cm x 66cm
AHM-2003-6;86cm x 61cm
AHM-2007-4;90cm x 75cm
AHM-2007-5;75cm x 61cm
AHM-2010-53/1;41cm x 35cm
AHM-2010-53/2;41cm x 35cm
AHM-2011-139/1;117cm x 93cm
AHM-2015-018;41cm x 35cm
AHM-2015-3;26cm x 23cm
AHM-2024-507;28cm x 24cm
AHM-2025-262;64cm x 53cm
AHM-2025-263;88cm x 77cm
AHM-2025-264;86cm x 65cm
AHM-2025-265;84cm x 71cm
AHM-2025-266;76cm x 66cm
AHM-2025-267;95cm x 80cm
AHM-2025-268;70cm x 61cm
AHM-2025-269;86cm x 66cm
AHM-2025-270;87cm x 69cm
AHM-2025-271;70cm x 50cm
AHM-2025-272;87cm x 66cm
AHM-2025-273;87cm x 69cm
AHM-2025-274;90cm x 80cm
AHM-2025-275;87cm x 68cm
AHM-2025-276;87cm x 70cm
AHM-2025-277;86cm x 64cm
AHM-2025-278;94cm x 77cm
AHM-2025-279;86cm x 64cm
AHM-2025-280;87cm x 66cm
AHM-2025-281;86cm x 65cm
AHM-2025-282;87cm x 77cm
AHM-2025-283;97cm x 82cm
AHM-2025-284;94cm x 84cm
AHM-2025-285;94cm x 84cm
Bild. Mus. Geerts 167;58cm x 69cm
Bild. Mus. Geerts 168;48cm x 55cm
Bild. Mus. Geerts 169;45cm x 40cm
Bild. Mus. Geerts 170;42cm x 53cm
Bild. Mus. Geerts 171;47cm x 56cm
Bild. Mus. Geerts 172;25cm x 32cm
Bild. Mus. Geerts 173;36cm x 43cm
Bild. Mus. Geerts 227;30cm x 26cm
Bild. Mus. Geerts 228;30cm x 26cm
Bild. Mus. Geerts 234;28cm x 85cm
Bild. Mus. Geerts 325;67cm x 79cm
Bild. Mus. Geerts 3h;35cm x 30cm
Bild. Mus. Geerts 65;95cm x 80cm
Bild. Mus. Geerts 88;61cm x 52cm
Icones 117;87cm x 66cm
Icones 119;86cm x 66cm
Icones 122;87cm x 66cm
Icones 123;86cm x 66cm
Icones 124;87cm x 66cm
Icones 132;87cm x 68cm
Icones 134;87cm x 66cm
Icones 139;87cm x 66cm
Icones 144;87cm x 66cm
Icones 145;87cm x 66cm
Icones 154;77cm x 61cm
Icones 158;87cm x 66cm
Icones 163;86cm x 66cm
Icones 164;87cm x 67cm
Icones 165;87cm x 66cm
Icones 168;87cm x 66cm
Icones 170;86cm x 66cm
Icones 173;86cm x 66cm
Icones 177;86cm x 66cm
Icones 181;87cm x 66cm
Icones 182;87cm x 67cm
Icones 183;87cm x 66cm
Icones 197;87cm x 66cm
Icones 201;87cm x 68cm
Icones 205;47cm x 40cm
Icones 207;87cm x 66cm
Icones 215;87cm x 68cm
Icones 222;87cm x 68cm
Icones 226;87cm x 69cm
Icones 229;86cm x 70cm
Icones 231;86cm x 69cm
Icones 238;87cm x 67cm
Icones 244;87cm x 70cm
Icones 245;86cm x 66cm
Icones 247;87cm x 68cm
Icones 261;86cm x 69cm
Icones 262;54cm x 45cm
Icones 275;87cm x 66cm
Icones 280;87cm x 68cm
Icones 281;85cm x 72cm
Icones 285;86cm x 66cm
Icones 287;87cm x 69cm
Icones 288;87cm x 69cm
Icones 289;87cm x 72cm
Icones 290;87cm x 67cm
Icones 292;86cm x 70cm
Icones 293;87cm x 66cm
Icones 296;88cm x 71cm
Icones 297;87cm x 69cm
Icones 298;87cm x 70cm
Icones 300;85cm x 63cm
Icones 301;87cm x 67cm
Icones 302;87cm x 76cm
Icones 313;97cm x 83cm
Icones 314;87cm x 69cm
Icones 319;87cm x 69cm
Icones 324;87cm x 67cm
Icones 325;86cm x 64cm
Icones 326;87cm x 66cm
Icones 328;87cm x 64cm
Icones 335;97cm x 84cm
Icones 337;86cm x 67cm
Icones 340;87cm x 66cm
Icones 341;82cm x 75cm
Icones 347;87cm x 64cm
Icones 349;86cm x 71cm
Icones 394;87cm x 67cm
Icones 412;92cm x 82cm
Icones 81;87cm x 66cm
Icones 82;87cm x 66cm
